Name	Fraction	Experiment
20160721_QEp2_SoDo_SA_LC12-13_RA4-frac8	8	RA4
20160721_QEp2_SoDo_SA_LC12-13_RA8	100	RA8
20160721_QEp2_SoDo_SA_LC12-13_RA8-frac1	1	RA8
20160721_QEp2_SoDo_SA_LC12-13_RA8-frac2	2	RA8
20160721_QEp2_SoDo_SA_LC12-13_RA8-frac3	3	RA8
20160721_QEp2_SoDo_SA_LC12-13_RA8-frac4	4	RA8
20160721_QEp2_SoDo_SA_LC12-13_RA8-frac5	5	RA8
20160721_QEp2_SoDo_SA_LC12-13_RA8-frac6	6	RA8
20160721_QEp2_SoDo_SA_LC12-13_RA8-frac7	7	RA8
20160721_QEp2_SoDo_SA_LC12-13_RA8-frac8	8	RA8
20160721_QEp2_SoDo_SA_LC12-13_RA8singleShot_1%1ul	100	RA8test
20160721_QEp2_SoDo_SA_LC12-13_RA8singleShot_1%1ul2	100	RA8test
20160721_QEp2_SoDo_SA_LC12-13_RA8singleShot_20%1ul	100	RA8test
20160721_QEp2_SoDo_SA_LC12-13_RA8singleShot_20%1ul2	100	RA8test
20160721_QEp2_SoDo_SA_LC12-13_RV3	100	RV3
20160721_QEp2_SoDo_SA_LC12-13_RV3cleaned	100	RV3test
20160721_QEp2_SoDo_SA_LC12-13_RV3-frac1	1	RV3
20160721_QEp2_SoDo_SA_LC12-13_RV3-frac2	2	RV3
20160721_QEp2_SoDo_SA_LC12-13_RV3-frac3cleaned	3	RV3
20160721_QEp2_SoDo_SA_LC12-13_RV3-frac4	4	RV3
20160721_QEp2_SoDo_SA_LC12-13_RV3-frac5	5	RV3
20160721_QEp2_SoDo_SA_LC12-13_RV3-frac6	6	RV3
20160721_QEp2_SoDo_SA_LC12-13_RV3-frac7	7	RV3
20160721_QEp2_SoDo_SA_LC12-13_RV3-frac8	8	RV3
20160721_QEp2_SoDo_SA_LC12-13_RV4_160731142828	100	RV4
20160721_QEp2_SoDo_SA_LC12-13_RV4-frac1	1	RV4
20160721_QEp2_SoDo_SA_LC12-13_RV4-frac2	2	RV4
20160721_QEp2_SoDo_SA_LC12-13_RV4-frac3	3	RV4
20160721_QEp2_SoDo_SA_LC12-13_RV4-frac4	4	RV4
20160721_QEp2_SoDo_SA_LC12-13_RV4-frac5	5	RV4
20160721_QEp2_SoDo_SA_LC12-13_RV4-frac6	6	RV4
20160721_QEp2_SoDo_SA_LC12-13_RV4-frac7	7	RV4
20160721_QEp2_SoDo_SA_LC12-13_RV4-frac8	8	RV4
20160721_QEp2_SoDo_SA_LC12-13_RV8-frac2	2	RV8
20160721_QEp2_SoDo_SA_LC12-13_RV8-frac3	3	RV8
20160721_QEp2_SoDo_SA_LC12-13_RV8-frac4	4	RV8
20160721_QEp2_SoDo_SA_LC12-13_RV8-frac5	5	RV8
20160721_QEp2_SoDo_SA_LC12-13_RV8-frac7	7	RV8
20160721_QEp2_SoDo_SA_LC12-13_RV8-frac8	8	RV8
20160802_QEp2_SoDo_SA_LC12-13_AFcells	100	AFcells
20160802_QEp2_SoDo_SA_LC12-13_Ao3	100	Ao3
20160802_QEp2_SoDo_SA_LC12-13_Ao3-frac1	1	Ao3
20160802_QEp2_SoDo_SA_LC12-13_Ao3-frac2	2	Ao3
20160802_QEp2_SoDo_SA_LC12-13_Ao3-frac3	3	Ao3
20160802_QEp2_SoDo_SA_LC12-13_Ao3-frac4	4	Ao3
20160802_QEp2_SoDo_SA_LC12-13_Ao3-frac5	5	Ao3
20160802_QEp2_SoDo_SA_LC12-13_Ao3-frac6	6	Ao3
20160802_QEp2_SoDo_SA_LC12-13_Ao3-frac7	7	Ao3
20160802_QEp2_SoDo_SA_LC12-13_Ao3-frac8	8	Ao3
20160802_QEp2_SoDo_SA_LC12-13_Ao4bis	100	Ao4
20160802_QEp2_SoDo_SA_LC12-13_Ao4-frac1	1	Ao4frac1match
20160802_QEp2_SoDo_SA_LC12-13_Ao8	100	Ao8
20160802_QEp2_SoDo_SA_LC12-13_Ao8-correct-frac1	1	Ao8
20160802_QEp2_SoDo_SA_LC12-13_Ao8-correct-frac2	2	Ao8
20160802_QEp2_SoDo_SA_LC12-13_Ao8-correct-frac3	3	Ao8
20160802_QEp2_SoDo_SA_LC12-13_Ao8-correct-frac4	4	Ao8
20160802_QEp2_SoDo_SA_LC12-13_Ao8-correct-frac5	5	Ao8
20160802_QEp2_SoDo_SA_LC12-13_Ao8-correct-frac6	6	Ao8
20160802_QEp2_SoDo_SA_LC12-13_Ao8-correct-frac7	7	Ao8
20160802_QEp2_SoDo_SA_LC12-13_Ao8-correct-frac8	8	Ao8
20160802_QEp2_SoDo_SA_LC12-13_AV3	100	AV3
20160802_QEp2_SoDo_SA_LC12-13_AV4	100	AV4
20160802_QEp2_SoDo_SA_LC12-13_AV8	100	AV8
20160802_QEp2_SoDo_SA_LC12-13_correct_Ao4-frac1	1	Ao4
20160802_QEp2_SoDo_SA_LC12-13_correct_Ao4-frac2_160817093039	2	Ao4
20160802_QEp2_SoDo_SA_LC12-13_correct_Ao4-frac3	3	Ao4
20160802_QEp2_SoDo_SA_LC12-13_correct_Ao4-frac4	4	Ao4
20160802_QEp2_SoDo_SA_LC12-13_correct_Ao4-frac5	5	Ao4
20160802_QEp2_SoDo_SA_LC12-13_correct_Ao4-frac6	6	Ao4
20160802_QEp2_SoDo_SA_LC12-13_correct_Ao4-frac7	7	Ao4
20160802_QEp2_SoDo_SA_LC12-13_correct_Ao4-frac8	8	Ao4
20160802_QEp2_SoDo_SA_LC12-13_CP3	100	CP3
20160802_QEp2_SoDo_SA_LC12-13_CP3-frac1	1	CP3
20160802_QEp2_SoDo_SA_LC12-13_CP3-frac2	2	CP3
20160802_QEp2_SoDo_SA_LC12-13_CP3-frac3	3	CP3
20160802_QEp2_SoDo_SA_LC12-13_CP3-frac4	4	CP3
20160802_QEp2_SoDo_SA_LC12-13_CP3-frac5	5	CP3
20160802_QEp2_SoDo_SA_LC12-13_CP3-frac6	6	CP3
20160802_QEp2_SoDo_SA_LC12-13_CP3-frac7	7	CP3
20160802_QEp2_SoDo_SA_LC12-13_CP3-frac8	8	CP3
20160802_QEp2_SoDo_SA_LC12-13_CP4	100	CP4
20160802_QEp2_SoDo_SA_LC12-13_CP4-frac1	1	CP4
20160802_QEp2_SoDo_SA_LC12-13_CP4-frac2	2	CP4
20160802_QEp2_SoDo_SA_LC12-13_CP4-frac3	3	CP4
20160802_QEp2_SoDo_SA_LC12-13_CP4-frac4	4	CP4
20160802_QEp2_SoDo_SA_LC12-13_CP4-frac5	5	CP4
20160802_QEp2_SoDo_SA_LC12-13_CP4-frac6	6	CP4
20160802_QEp2_SoDo_SA_LC12-13_CP4-frac7	7	CP4
20160802_QEp2_SoDo_SA_LC12-13_CP4-frac8	8	CP4
20160802_QEp2_SoDo_SA_LC12-13_CP8	100	CP8
20160802_QEp2_SoDo_SA_LC12-13_CP8-frac1	1	CP8
20160802_QEp2_SoDo_SA_LC12-13_CP8-frac2	2	CP8
20160802_QEp2_SoDo_SA_LC12-13_CP8-frac3	3	CP8
20160802_QEp2_SoDo_SA_LC12-13_CP8-frac4	4	CP8
20160802_QEp2_SoDo_SA_LC12-13_CP8-frac5	5	CP8
20160802_QEp2_SoDo_SA_LC12-13_CP8-frac6	6	CP8
20160802_QEp2_SoDo_SA_LC12-13_CP8-frac7	7	CP8
20160802_QEp2_SoDo_SA_LC12-13_CP8-frac8	8	CP8
20160802_QEp2_SoDo_SA_LC12-13_KFcells	100	KFcells
20160802_QEp2_SoDo_SA_LC12-13_KFcells-frac1	1	KFcells
20160802_QEp2_SoDo_SA_LC12-13_KFcells-frac2	2	KFcells
20160802_QEp2_SoDo_SA_LC12-13_KFcells-frac3	3	KFcells
20160802_QEp2_SoDo_SA_LC12-13_KFcells-frac4	4	KFcells
20160802_QEp2_SoDo_SA_LC12-13_KFcells-frac5	5	KFcells
20160802_QEp2_SoDo_SA_LC12-13_KFcells-frac6	6	KFcells
20160802_QEp2_SoDo_SA_LC12-13_KFcells-frac7	7	KFcells
20160802_QEp2_SoDo_SA_LC12-13_KFcells-frac8	8	KFcells
20160802_QEp2_SoDo_SA_LC12-13_LH3	100	LH3
20160802_QEp2_SoDo_SA_LC12-13_LH3-frac1	1	LH3
20160802_QEp2_SoDo_SA_LC12-13_LH3-frac2	2	LH3
20160802_QEp2_SoDo_SA_LC12-13_LH3-frac3	3	LH3
20160802_QEp2_SoDo_SA_LC12-13_LH3-frac4	4	LH3
20160802_QEp2_SoDo_SA_LC12-13_LH3-frac5	5	LH3
20160802_QEp2_SoDo_SA_LC12-13_LH3-frac6	6	LH3
20160802_QEp2_SoDo_SA_LC12-13_LH3-frac7	7	LH3
20160802_QEp2_SoDo_SA_LC12-13_LH3-frac8	8	LH3
20160802_QEp2_SoDo_SA_LC12-13_LH4_160906180935	100	LH4
20160802_QEp2_SoDo_SA_LC12-13_LH4-frac1	1	LH4
20160802_QEp2_SoDo_SA_LC12-13_LH4-frac2	2	LH4
20160802_QEp2_SoDo_SA_LC12-13_LH4-frac3	3	LH4
20160802_QEp2_SoDo_SA_LC12-13_LH4-frac4	4	LH4
20160802_QEp2_SoDo_SA_LC12-13_LH4-frac5	5	LH4
20160802_QEp2_SoDo_SA_LC12-13_LH4-frac6	6	LH4
20160802_QEp2_SoDo_SA_LC12-13_LH4-frac7	7	LH4
20160802_QEp2_SoDo_SA_LC12-13_LH4-frac8	8	LH4
20160802_QEp2_SoDo_SA_LC12-13_LH8	100	LH8
20160802_QEp2_SoDo_SA_LC12-13_LH8-frac1	1	LH8
20160802_QEp2_SoDo_SA_LC12-13_LH8-frac2	2	LH8
20160802_QEp2_SoDo_SA_LC12-13_LH8-frac3	3	LH8
20160802_QEp2_SoDo_SA_LC12-13_LH8-frac4	4	LH8
20160802_QEp2_SoDo_SA_LC12-13_LH8-frac5	5	LH8
20160802_QEp2_SoDo_SA_LC12-13_LH8-frac6	6	LH8
20160802_QEp2_SoDo_SA_LC12-13_LH8-frac7	7	LH8
20160802_QEp2_SoDo_SA_LC12-13_LH8-frac8	8	LH8
20160802_QEp2_SoDo_SA_LC12-13_MV3_160826133613	100	MV3
20160802_QEp2_SoDo_SA_LC12-13_MV3-frac1_160826154640	1	MV3
20160802_QEp2_SoDo_SA_LC12-13_MV3-frac2	2	MV3
20160802_QEp2_SoDo_SA_LC12-13_MV3-frac3	3	MV3
20160802_QEp2_SoDo_SA_LC12-13_MV3-frac3_160826200858	3	MV3frac3bis
20160802_QEp2_SoDo_SA_LC12-13_MV3-frac4	4	MV3
20160802_QEp2_SoDo_SA_LC12-13_MV3-frac4_160826222005	4	MV3frac4bis
20160802_QEp2_SoDo_SA_LC12-13_MV3-frac5	5	MV3
20160802_QEp2_SoDo_SA_LC12-13_MV3-frac5_160827003045	5	MV3frac5bis
20160802_QEp2_SoDo_SA_LC12-13_MV3-frac6	6	MV3
20160802_QEp2_SoDo_SA_LC12-13_MV3-frac6_160827024210	6	MV3frac6bis
20160802_QEp2_SoDo_SA_LC12-13_MV3-frac7	7	MV3
20160802_QEp2_SoDo_SA_LC12-13_MV3-frac7_160827045338	7	MV3frac7bis
20160802_QEp2_SoDo_SA_LC12-13_MV3-frac8	8	MV3
20160802_QEp2_SoDo_SA_LC12-13_MV3-frac8_160827070421	8	MV3frac8bis
20160802_QEp2_SoDo_SA_LC12-13_MV4	100	MV4
20160802_QEp2_SoDo_SA_LC12-13_MV4-frac1	1	MV4
20160802_QEp2_SoDo_SA_LC12-13_MV4-frac2	2	MV4
20160802_QEp2_SoDo_SA_LC12-13_MV4-frac3	3	MV4
20160802_QEp2_SoDo_SA_LC12-13_MV4-frac4	4	MV4
20160802_QEp2_SoDo_SA_LC12-13_MV4-frac5	5	MV4
20160802_QEp2_SoDo_SA_LC12-13_MV4-frac6	6	MV4
20160802_QEp2_SoDo_SA_LC12-13_MV4-frac7	7	MV4
20160802_QEp2_SoDo_SA_LC12-13_MV4-frac8	8	MV4
20160802_QEp2_SoDo_SA_LC12-13_MV8	100	MV8
20160802_QEp2_SoDo_SA_LC12-13_MV8-frac1	1	MV8
20160802_QEp2_SoDo_SA_LC12-13_MV8-frac2	2	MV8
20160802_QEp2_SoDo_SA_LC12-13_MV8-frac3	3	MV8
20160802_QEp2_SoDo_SA_LC12-13_MV8-frac4	4	MV8
20160802_QEp2_SoDo_SA_LC12-13_MV8-frac5	5	MV8
20160802_QEp2_SoDo_SA_LC12-13_MV8-frac6	6	MV8
20160802_QEp2_SoDo_SA_LC12-13_MV8-frac7	7	MV8
20160802_QEp2_SoDo_SA_LC12-13_MV8-frac8	8	MV8
20160802_QEp2_SoDo_SA_LC12-13_PA3	100	PA3
20160802_QEp2_SoDo_SA_LC12-13_PA3-frac1	1	PA3
20160802_QEp2_SoDo_SA_LC12-13_PA3-frac2	2	PA3
20160802_QEp2_SoDo_SA_LC12-13_PA3-frac3	3	PA3
20160802_QEp2_SoDo_SA_LC12-13_PA3-frac4	4	PA3
20160802_QEp2_SoDo_SA_LC12-13_PA3-frac5	5	PA3
20160802_QEp2_SoDo_SA_LC12-13_PA3-frac6	6	PA3
20160802_QEp2_SoDo_SA_LC12-13_PA3-frac7_160815151047	7	PA3
20160802_QEp2_SoDo_SA_LC12-13_PA3-frac8	8	PA3
20160802_QEp2_SoDo_SA_LC12-13_PA4	100	PA4
20160802_QEp2_SoDo_SA_LC12-13_PA8-frac1	1	PA8
20160802_QEp2_SoDo_SA_LC12-13_PA8-frac2	2	PA8
20160802_QEp2_SoDo_SA_LC12-13_PA8-frac3	3	PA8
20160802_QEp2_SoDo_SA_LC12-13_PV3	100	PV3
20160802_QEp2_SoDo_SA_LC12-13_PV4	100	PV4
20160802_QEp2_SoDo_SA_LC12-13_PV8	100	PV8match
20160802_QEp2_SoDo_SA_LC12-13_PV8_160906144054	100	PV8
20160802_QEp2_SoDo_SA_LC12-13_PV44	100	PVe4
20160802_QEp2_SoDo_SA_LC12-13_PVe3	100	PVe3
20160802_QEp2_SoDo_SA_LC12-13_PVe3-frac1	1	PVe3
20160802_QEp2_SoDo_SA_LC12-13_PVe3-frac2	2	PVe3
20160802_QEp2_SoDo_SA_LC12-13_PVe3-frac3	3	PVe3
20160802_QEp2_SoDo_SA_LC12-13_PVe3-frac4	4	PVe3
20160802_QEp2_SoDo_SA_LC12-13_PVe3-frac5	5	PVe3
20160802_QEp2_SoDo_SA_LC12-13_PVe3-frac6	6	PVe3
20160802_QEp2_SoDo_SA_LC12-13_PVe3-frac7	7	PVe3
20160802_QEp2_SoDo_SA_LC12-13_PVe3-frac8	8	PVe3
20160802_QEp2_SoDo_SA_LC12-13_PVe4-frac1_160821130035	1	PVe4
20160802_QEp2_SoDo_SA_LC12-13_PVe4-frac2_160821145423	2	PVe4
20160802_QEp2_SoDo_SA_LC12-13_PVe4-frac4_160909200947	4	PVe4
20160802_QEp2_SoDo_SA_LC12-13_PVe4-frac6	6	PVe4
20160802_QEp2_SoDo_SA_LC12-13_PVe4-frac7	7	PVe4
20160802_QEp2_SoDo_SA_LC12-13_PVe4-frac8	8	PVe4
20160802_QEp2_SoDo_SA_LC12-13_PVe8_160909221423	100	PVe8
20160802_QEp2_SoDo_SA_LC12-13_PVe8-frac1_160910001937	1	PVe8
20160802_QEp2_SoDo_SA_LC12-13_PVe8-frac2_160910022512	2	PVe8
20160802_QEp2_SoDo_SA_LC12-13_PVe8-frac3_160910043042	3	PVe8
20160802_QEp2_SoDo_SA_LC12-13_PVe8-frac4_160910063612	4	PVe8
20160802_QEp2_SoDo_SA_LC12-13_PVe8-frac5_160910084211	5	PVe8
20160802_QEp2_SoDo_SA_LC12-13_PVe8-frac6_160910104836	6	PVe8
20160802_QEp2_SoDo_SA_LC12-13_PVe8-frac7	7	PVe8
20160802_QEp2_SoDo_SA_LC12-13_PVe8-frac8	8	PVe8
20160802_QEp2_SoDo_SA_LC12-13_SepA3	100	SepA3
20160802_QEp2_SoDo_SA_LC12-13_SepA3-frac1	1	SepA3
20160802_QEp2_SoDo_SA_LC12-13_SepA3-frac2	2	SepA3
